home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
BOS,BKN,,,,,-260,210
MIL,PHO,,,,,-380,290
WAS,IND,,,,,-140,120
BOS,BKN,,,,,-185,150
BOS,BKN,0,0,1,11:46,-235,180
BOS,BKN,2,0,1,11:18,-280,210
BOS,BKN,2,0,1,10:49,-255,190
BOS,BKN,2,4,1,10:10,-200,160
BOS,BKN,2,4,1,10:09,-235,180
BOS,BKN,2,4,1,10:09,-210,165
BOS,BKN,3,7,1,9:47,-185,150
BOS,BKN,3,7,1,9:48,-175,145
BOS,BKN,4,7,1,9:34,-175,145
BOS,BKN,7,7,1,8:59,-195,155
BOS,BKN,7,7,1,8:50,-225,175
MIL,PHO,,,,,-365,280
BOS,BKN,9,10,1,8:19,-195,155
BOS,BKN,9,10,1,7:59,-220,170
BOS,BKN,11,10,1,7:39,-265,200
BOS,BKN,14,15,1,7:01,-265,200
BOS,BKN,14,15,1,7:01,-235,180
BOS,BKN,14,16,1,7:01,-235,180
BOS,BKN,15,16,1,7:01,-225,175
BOS,BKN,16,16,1,6:34,-220,170
BOS,BKN,18,16,1,6:34,-245,185
BOS,BKN,18,16,1,6:34,-235,180
BOS,BKN,19,16,1,6:21,-255,190
BOS,BKN,19,16,1,5:50,-220,170
BOS,BKN,19,18,1,5:38,-165,135
BOS,BKN,19,19,1,5:34,-160,130
BOS,BKN,21,21,1,5:07,-175,145
BOS,BKN,23,21,1,4:28,-220,170
BOS,BKN,23,24,1,4:05,-185,150
BOS,BKN,23,24,1,3:43,-185,150
BOS,BKN,25,24,1,3:29,-195,155
BOS,BKN,25,25,1,3:29,-185,150
BOS,BKN,25,26,1,3:08,-165,135
BOS,BKN,25,28,1,2:34,-155,125
BOS,BKN,28,28,1,2:34,-155,125
BOS,BKN,28,28,1,2:34,-195,155
BOS,BKN,29,28,1,2:37,-195,155
BOS,BKN,29,30,1,2:16,-175,145
BOS,BKN,29,30,1,1:55,-165,135
BOS,BKN,29,32,1,1:26,-155,125
BOS,BKN,29,32,1,1:03,-135,105
BOS,BKN,29,32,1,0:50,-135,105
BOS,BKN,29,34,1,0:46,-125,-105
BOS,BKN,29,34,1,0:13,-125,-105
BOS,BKN,29,34,2,12:00,-120,-110
BOS,BKN,29,34,2,12:00,-115,-115
BOS,BKN,29,34,2,11:56,-115,-115
BOS,BKN,29,34,2,11:29,-110,-120
